index|caption|label
340|flooded river flowing bridge carrying vehicular traffic. flood waters partially covered road surrounded tree.|-1
108|three young boys older boy blue white canoe. three young ones orange lifevests on.|1
91|three plastic bottles water blue caps laid flat white surface, one center two angle.|0
719|group students, sitting front blackboard asian characters written it.|0
88|man sitting chair head tilted back eyes open gazing something above.|0
419|sniper's rifle bipod scope attached.|-1
722|boys girls classroom raising hand.|1
813|vivid sunset casting red orange shades clouds sun going behind rocks water.|1
874|bride wearing white dress hold groom's hand white bouquet flowers hand.|1
802|street lined stone buildings cars parked one side people sidewalk.|0
103|man kneeling front tent two similar-looking girls sides. hands rest shoulder, one top other.|1
591|orangutan flabby cheeks watching something intently|0
548|hairy naked man standing shower, wearing necklace.|0
415|dark silhouettes different types guns, rifles grenade.|-1
341|two people walking bridge body water. water risen high level partially covering street signs bridge. pieces plant matter floating water.|-1
483|lion lying side eyes closed enclosure wall.|0
774|undulating shapes grey sand dune twilight.|0
755|team parachutists colored flares feet hands linked make intertwined circular formation coastline below.|1
603|paraglider colorful chute deployed blue sky scattered white clouds background.|1
127|multitude new large brown cardboard sheets stacked horizontally.|0
721|two students hunched desk working problem together students work background.|1
276|black dog floppy ears resting muzzle wall looking out.|1
279|little dog bows hair lying muzzle carpet.|0
163|man leaps diving platform begin dive ocean below.|1
178|six hands resting other. one wrists purple band around it. another one white watch.|1
792|spider silhouette, hanging upside-down web.|0
153|young boys working factory|-1
506|pregnant woman hands exposed abdomen.|1
524|man dog walking snow-covered sidewalk past trees bushes.|1
405|sunset small cemetery.|0
7|two glasses sparkling wine gold rims floral engraving. outdoors, resting stump flowers nearby background.|1
166|brown cockroach spiky legs flat surface|-1
444|iron bars across prison cell bed visible bars.|-1
710|sinister looking face woman looking brown eyes clenched fists covering nose mouth.|0
231|destroyed house roof fallen onto rest house. across yard, american flag tied post top brick structure.|0
705|red sailboat lake evening sun high rise buildings tower background. sunlight reflects buildings water.|1
581|woman shirt pulled back expose breasts shoulders. nipple piercings nose studs. left arm heavily tattooed.|0
458|lone tree shore blue lake surrounded low clouds mountains.|1
29|astronaut space walk earth background. spacecraft reflected face mask.|1
849|tornado distance. house green roof tree foreground.|-1
198|man cartwheel grass field. wearing sneakers t-shirt. photo taken wide-angle lens. black white, except sky, dark blue.|1
133|two young kittens lying towel peering around them.|1
672|different shades grey rocks sharp edges.|0
645|power lines snow-draped mountainside.|0
778|close-up colorful soccer ball lying grass, stadium background.|0
689|face man blue eyes, large nose worried look face.|0
408|cemetery rows crooked fallen headstones overgrown green grass.|0
758|three skydivers free fall. one started deploying parachute.|0
190|man woman arms around other, facing large house sitting wooden bench. facing big house garden. woman holding bouquet red flowers.|1
9|bar several bottles wine partially-filled wine glass it. three shelves full bottles background.|0
848|ferris wheel superimposed top lightning storm, superimposed top dry cracked desert ground.|0
762|sleeping guard, wearing blue uniform, tie, hat insignia front it.|0
632|backlit photo pine cone sitting blue surface.|0
269|white dog running across grass ears flying.|1
272|black white dog sticking muzzle bars enclosure.|-1
613|dirt road grass running middle, leading gate house. side road, grass planted green trees.|0
634|four brown pine cones tree leaves needles.|0
8|two rows rose red wine bottles, lying wood racks|0
678|copper covered tiles roof sloped plane.|0
80|table setting birthday party glasses, plates caps sparkly things around multi-level tray holding desserts.|1
769|brown snaked coiled around green snake top rocks leaves.|-1
431|orange heart-shaped lock chain link fence tall trees background.|0
363|old man unkempt hair sinking face left hand.|-1
94|square section stones laid brick wall.|0
1|three acorns flat surface. one acorn missing cap. two caps left acorns. acorns caps casting long shadows surface.|0
895|man wearing shorts yoga pose sandy beach.|0
598|hand holding little cross-ruled notebook open blank page.|0
455|lake surrounded green trees mountains one side clear blue sky clouds above.|1
873|man black striped tuxedo white dress shirt, placing wedding ring woman's hand.|1
737|hands wearing gloves inserting needle bump person's arm.|-1
386|gargoyle form monster pointy teeth long nails.|0
573|young woman two-piece bathing suit lying back arms framing face.|1
617|people large indoor event held sports arena.|0
344|bouquet pink flowers containing mostly full blown roses, carnations daisies.|1
570|nude woman asleep side head resting hand.|1
695|crying boy mouth open wearing green beige fleece hoodie.|-1
580|woman wearing black bra, underwear, high heels, sitting white couch. woman pierced belly button.|0
546|two naked men wrestling mat another looks on.|0
173|styrofoam snowman black bead eyes red bead nose wearing red knitted scarf winter hat.|1
11|man driving motorcycle sidecar stretcher containing injured man white bandage around head. background, row men standing next horses.|-1
314|chain-link fence blue sky behind it.|0
53|closeup image greenish tree bark.|0
141|beige white cat eyes closed.|1
739|hand holding hypodermic syringe injecting something vein.|-1
855|crater brown mountains white smoke rising.|0
495|black white image severely emaciated child lying bed white sheets.|-1
76|green bird orange beak, looking pink, purple, blue bird black beak. behind chain link fence tree.|1
211|old man white moustache deeply lined face.|0
288|smiling young woman holding green apple. brown eyes hair two earrings ear.|1
509|woman kissing baby tender loving way, holding inside arms. baby happy.|1
