index|caption|label
292|dirty damaged photograph woman messy hair holding head hands.|-1
101|woman kissing smiling man cheek|1
106|two brown mugs white insides. one lying side.|0
714|turquoise syringe orange cap, lying top healthcare paperwork silver scissors background.|0
103|intersection two roads pedestrian crossing marks.|0
362|bald man head wooden table. grasps empty liquor bottle right hand. shot glass seen behind left arm.|-1
740|two young girls blond hair dressed identical white lace shirts, half way facing us smiling. right left arms crossed, touching wood beams.|1
804|swimmer pool lane markers turning head take breath swimming.|1
864|black white photo man's hand underneath woman's hand. woman wearing silver bracelet, long white gloves, wedding dress. holding two wedding rings.|1
810|purple lightning purple sky, causing lens flare top right image.|0
96|man woman embracing water's edge beach. woman leaning backwards man supports her. wearing white wedding dress veil. man wearing black suit.|1
586|pigeon ground seeds scattered around it.|0
536|woman shirt pulled back expose breasts shoulders. nipple piercings nose studs. left arm heavily tattooed.|0
355|black rifle scope attached, lying next camouflage pattern rifle bag.|-1
293|man holding head hands.|-1
497|two naked men wrestling mat another looks on.|0
774|ray resting seabed small striped fish swimming it.|0
772|statue buddha garden. bowl purple white flowers rests stones front him. two candles ornamental holders sides. green red trees growing behind him.|1
608|green present wrapped blue ribbon, purple present wrapper lavender ribbon, pink present white dots wrapped pink ribbon.|1
161|dental professional mask safety glasses holding drill gloved hand.|0
733|gold brown ducklings swimming mother pond.|1
282|feet man dressed orange robes, walking pink, red, white flower petals.|1
341|sunset small cemetery.|0
171|black tan german shepherd sitting haunches.|1
180|brown dog sitting garden path. mouth open mottled tongue hanging out. chain collar around neck.|1
799|operating room patient lying covered table surgeon operating nurses assisting.|0
124|partially clothed body lying ground.|-1
487|woman sitting astride clothed man dress hiked legs visible. out-of-focus city lights background|1
530|woman lying bed lingerie black underpants red black bustier.|1
431|weasel sitting upright like human being.|0
5|smiling woman wearing orange top blue shorts, held bungee jumping apparatus, suspended water trees.|1
129|black white photo woman sitting ground one hand face top head.|-1
392|large burning cross, people white robes hoods circling around it.|-1
706|shark one blue eye visible cruising mouth partially open.|0
283|pasta salad olives tomatoes|0
722|swan wings outstretched alighting pond.|1
560|bunch staples interlinked other.|0
457|woman kissing baby tender loving way, holding inside arms. baby happy.|1
8|three men two women dressed medieval costumes sit benches wooden table. table horn, furred hat, apple it. shield nearby.|1
834|tornado distance. house green roof tree foreground.|-1
190|white dog running across grass ears flying.|1
118|three girls ring holding hands. outdoors. brown skin straight black hair.|1
669|man sitting ground hugging knees bending head eyes closed.|0
642|tiled roof tiles broken tiles missing|0
780|white, purple, red, green, blue, orange shipping containers, stacked top other.|0
690|group students, sitting front blackboard asian characters written it.|0
435|rows closely spaced white crosses cemetery.|0
755|man's hand, holding black white bird.|0
188|dog leash mouth open, looking alertly towards camera.|1
14|person wearing hat coat sunburned faced looking trough opening tent, set snow.|0
851|black white photo man camouflage uniform holding assault rifle.|0
759|army officer standing group men uniform jumping jacks dormitory.|0
635|rounded wet stones various sizes colors.|0
279|bouquet blue white flowers mixed green leaves.|1
202|brown dog paws nose fence looking it.|-1
616|rafters tipping navigating stretch white water.|0
636|different shades grey rocks smooth edges.|0
13|three boys playing refugee camp tents behind them.|0
676|gray black striped cat stares much larger dog white muzzle brown black fur.|0
86|leafless tree, covered snow. ground tree also covered snow, tracks seen right tree.|1
764|view soldier behind. wearing green beret bayonet visible muzzle rifle.|-1
446|monkey staring piercing eyes mouth wide open.|0
301|man walks amidst crosses marking graves cemetery.|-1
109|group clean drinking glasses stacked reflective surface.|0
1|bar several bottles wine partially-filled wine glass it. three shelves full bottles background.|0
895|square section stones laid brick wall.|0
603|two motorcycle policeman leading two long lines motorcyclists long tree-lined street day. lines disappear hill distance|0
453|pregnant woman hands exposed abdomen.|1
863|three-tiered cake, pink yellow frosting it, purple, pink, yellow flowers. blue plates next it.|1
713|empty syringe lies hard light brown surface. needle right angles touching end.|-1
417|lightning bolt many branches striking ground night near row houses lighted windows.|0
579|parents holding young kids sitting blanket lawn park.|1
620|group people wearing red life jackets blue yellow helmets. white water rafting grey inflatable boat using red paddles.|0
327|young girl sitting front dandelions blowing one hands. pieces air left blow. long blond hair wears hat.|1
574|adult penguin stands upright baby penguin standing front it. penguins bellies background.|1
665|man sitting armchair hand covering eyes.|-1
559|bunch paper clips interlaced together.|0
533|two women dressed leather, one bright red hair, black, sitting backs kneeling men. red-haired woman sits man full blue leather bondage attire, hands chained behind back. woman sits man dressed black leather bondage attire hands tied front him.|0
174|little brown tan puppy peering polka dot cup resting grassy surface inside fence.|1
19|blue car hood smashed side road people looking it.|-1
374|house ornately carved stone doorway. wall one side decorated tiles. window bars lamp post wrought iron.|0
60|group male workers, mostly children factory.|0
135|brown cake chocolate bottom, orange slices two white flowers top.|1
721|small white blue stones soil.|-1
872|row chairs tables set meal red napkins inverted water glasses.|0
442|boy sitting couch head sunk arms crossed tops drawn-up knees.|-1
79|cup coffee heart shape made milk foam, saucer teaspoon.|1
255|bright red fire hydrant surrounded steel bars.|0
287|several containers raspberries.|1
520|black white photo topless woman standing forest. star hair necklace on.|1
