id,image_title,caption,valence_mean
I109,Camping 7.jpg,a group of people on a small boat in the water.,5.2156862745098005
I56,BDSM 1.jpg,a group of people standing next to each other.,4.33333333333333
I61,Beach 3.jpg,a person on a beach with a surfboard.,5.51485148514851
I400,Grass 2.jpg,a bird is standing in the grass near a tree.,4.94117647058824
I180,Cotton swabs 1.jpg,a close up of a baseball glove with a baseball glove.,4.09803921568627
I121,Car crash 2.jpg,a motorcycle is parked on the side of the road.,1.99009900990099
I76,Bird 3.jpg,a group of log are swimming in the water.,6.03703703703704
I84,Boat 1.jpg,a boat sitting on top of a body of water.,4.574074074074071
I90,Bored pose 5.jpg,a woman sitting on a bed holding a laptop.,3.8019801980197996
I96,Bridge 1.jpg,a train traveling over a bridge over a river.,5.891089108910889
I132,Cat 3.jpg,a black and white cat laying on top of a bed.,6.0
I95,Bricks 1.jpg,a large black bear standing next to a stone wall.,4.15686274509804
I113,Candle 1.jpg,a table topped with a cake and a candle.,5.04901960784314
I97,Bubble 1.jpg,a vase filled with flowers on top of a window persons.,4.79207920792079
I143,Cat 14.jpg,a cat that is laying down on a bed.,5.705882352941179
I112,Camping 10.jpg,a red and white boat sitting on top of a sandy beach.,4.94117647058824
I156,Child labor 4.jpg,a black and white photo of a man standing next to a train.,4.01851851851852
I117,Car accident 2.jpg,a blue motorcycle parked in a tall lot.,1.97222222222222
I160,Chipmunk 3.jpg,a brown bear sitting on top of a rock.,5.52941176470588
I111,Camping 9.jpg,a man sitting on a bed with a blue umbrella.,3.9901960784313704
I133,Cat 4.jpg,a cat laying on top of a wooden table.,5.84313725490196
I149,Cemetery 4.jpg,a group of people standing in a field next to a wooden fence.,2.7941176470588194
I128,Cardboard 2.jpg,a wooden bench sitting on top of a sandy beach.,4.0092592592592595
I98,Bubble 2.jpg,a close up of a blue and white vase with a flower in it.,5.0
I87,Bored pose 2.jpg,a man in a suit and tie holding a cell phone to his ear.,3.1862745098039196
I31,Astronaut 2.jpg,a baseball player holding a bat on top of a field.,5.13725490196078
I24,Animal carcass 3.jpg,a group of animals that are standing in the grass.,2.75
I60,Beach 2.jpg,a large body of water with a boat in the distance.,6.32352941176471
I127,Cardboard 1.jpg,a close up of a pair of scissors on a table.,4.01851851851852
I120,Car crash 1.jpg,a car is parked on the side of the road.,1.8529411764705903
I129,Cardboard 3.jpg,a white toilet sitting in a bathroom next to a wall.,3.74509803921569
I57,BDSM 2.jpg,a group of people standing next to each other.,3.93069306930693
I36,Baby 5.jpg,a baby laying on top of a bed with a blanket.,6.138888888888889
I136,Cat 7.jpg,a black and white cat is sitting on the ground.,3.32352941176471
I22,Animal carcass 1.jpg,a couple of birds standing on top of a grass covered field.,2.72222222222222
I42,Band 1.jpg,a group of people standing next to each other on a dirt field.,4.87128712871287
I27,Animal carcass 6.jpg,a zebra laying on the ground next to a zebra.,2.3981481481481497
I59,Beach 1.jpg,a beach with chairs and umbrellas on the beach.,6.36633663366337
I161,City 1.jpg,a city street filled with lots of parking pole.,4.4356435643564405
I74,Bird 1.jpg,two people are walking on the beach with mountains.,5.90740740740741
I78,Bird 5.jpg,a close up of a person holding a bird.,4.47058823529412
I41,Baby 10.jpg,a little girl sitting on a bench with a teddy bear.,5.42156862745098
I30,Astronaut 1.jpg,a man riding a snowboard down a snow covered slope.,5.71296296296296
I67,Bear 1.jpg,a black bear laying on top of a rock.,5.148148148148151
I45,Bar 2.jpg,a room filled with lots of different types of furniture.,4.7524752475247505
I53,Bark 5.jpg,a bird perched on top of a tree branch.,4.1980198019802
I126,Car race 4.jpg,a group of people standing on the side of the road.,4.14705882352941
I26,Animal carcass 5.jpg,a brown cow standing on top of a grass covered field.,1.61764705882353
I68,Bear 2.jpg,a large brown bear standing on top of a rock.,4.41666666666667
I51,Bark 3.jpg,a close up of a bird on a tree branch.,4.627450980392161
I29,Archery 2.jpg,a man holding a tennis racquet on a tennis court.,4.81372549019608
I25,Animal carcass 4.jpg,a brown and white dog standing on top of a lush green field.,3.7941176470588194
I16,Angry face 2.jpg,a woman in a white shirt and a black tie.,3.07843137254902
I38,Baby 7.jpg,a baby is laying down with a toothbrush in its mouth.,2.9705882352941204
I63,Beach 5.jpg,a group of wine glasses sitting on top of a table.,5.59259259259259
I82,Bloody knife 1.jpg,a close up of a pair of scissors on a table.,1.8431372549019598
I54,Bark 6.jpg,a black bird perched on top of a tree branch.,4.257425742574259
I55,Barrels 1.jpg,a bunch of veggies that are hanging on a wall.,4.20792079207921
