imageId|caption|label
I1|a close up of a plastic container of food.|neutral
I2|a bunch of different types of doughnuts on a table.|neutral
I3|a pile of carrots sitting on top of a cutting board.|neutral
I4|a glass of wine sitting on top of a wooden table.|neutral
I5|a display case filled with lots of bottles of wine.|neutral
I6|a group of wine glasses sitting on top of a table.|neutral
I7|a group of wine glasses sitting on top of a table.|neutral
I8|a glass of wine sitting on top of a wooden table.|positive
I9|a bunch of bottles of wine sitting on top of a counter.|neutral
I10|a bunch of bottles of wine sitting on a counter.|neutral
I11|a glass of wine sitting on top of a wooden table.|positive
I12|a black and white photo of a man sitting on a motorcycle.|negative
I13|a white truck parked in a tall lot.|neutral
I14|a red truck is parked on the side of the street.|neutral
I15|a black and white photo of a man holding a tennis racket.|neutral
I16|a woman in a white shirt and a black tie.|neutral
I17|a man in a suit and tie holding a cell phone to his ear.|negative
I18|a man with a design wearing a tie.|negative
I19|a man with a design and a tie is smiling.|negative
I20|a man in a suit and tie holding a cell phone.|negative
I21|a man is holding a toothbrush in his mouth.|negative
I22|a couple of birds standing on top of a grass covered field.|negative
I23|a bird that is standing on a rock.|neutral
I24|a group of animals that are standing in the grass.|negative
I25|a brown and white dog standing on top of a lush green field.|neutral
I26|a brown cow standing on top of a grass covered field.|negative
I27|a zebra laying on the ground next to a zebra.|negative
I28|a man holding a baseball bat in his hands.|neutral
I29|a man holding a tennis racquet on a tennis court.|neutral
I30|a man riding a snowboard down a snow covered slope.|positive
I31|a baseball player holding a bat on top of a field.|positive
I32|a person is holding a toothbrush in their hand.|positive
I33|a young boy sitting on a couch holding a remote.|positive
I34|a baby laying on a bed holding a teddy bear.|positive
I35|a person laying on a bed with a stuffed animal.|positive
I36|a baby laying on top of a bed with a blanket.|positive
I37|a baby laying on a bed with a teddy bear.|positive
I38|a baby is laying down with a toothbrush in its mouth.|negative
I39|a baby laying on a bed with a stuffed animal.|positive
I40|a small child is holding a toothbrush in his mouth.|positive
I41|a little girl sitting on a bench with a teddy bear.|positive
I42|a group of people standing next to each other on a dirt field.|neutral
I43|a man in a suit and tie holding a microphone.|positive
I44|a display case filled with lots of bottles of wine.|neutral
I45|a room filled with lots of different types of furniture.|neutral
I46|several bottles of wine sitting on top of a counter.|neutral
I47|a man cutting a piece of cake with a knife.|neutral
I48|a woman holding a pair of scissors in her hands.|positive
I49|a bird sitting on top of a tree branch.|neutral
I50|a bird perched on top of a tree branch.|neutral
I51|a close up of a bird on a tree branch.|neutral
I52|a black bird perched on top of a tree branch.|neutral
I53|a bird perched on top of a tree branch.|neutral
I54|a black bird perched on top of a tree branch.|neutral
I55|a bunch of veggies that are hanging on a wall.|neutral
I56|a group of people standing next to each other.|neutral
I57|a group of people standing next to each other.|neutral
I58|a group of people sitting on a bench in a park.|neutral
I59|a beach with chairs and umbrellas on the beach.|positive
I60|a large body of water with a boat in the distance.|positive
I61|a person on a beach with a surfboard.|positive
I62|a woman sitting on the beach with a surfboard.|positive
I63|a group of wine glasses sitting on top of a table.|positive
I64|a couple of birds sitting on top of a wooden makes.|positive
I65|a man sitting on a beach with a surfboard.|positive
I66|a couple of boats sitting on top of a sandy beach.|positive
I67|a black bear laying on top of a rock.|positive
I68|a large brown bear standing on top of a rock.|neutral
I69|a polar bear standing on a rock in the snow.|positive
I70|a bed with a white nicely and pillows on top of it.|neutral
I71|a close up of a dog wearing a tie.|neutral
I72|a man riding a dirt bike on top of a dirt road.|positive
I73|a close up of a bowl of `` on a table.|neutral
I74|two people are walking on the beach with mountains.|positive
I75|a frisbe swimming in the water with a fish in it 's mouth.|positive
I76|a group of log are swimming in the water.|positive
I77|a colorful bird is sitting on a branch.|positive
I78|a close up of a person holding a bird.|neutral
I79|a birthday cake with candles on it sitting on a table.|positive
I80|a little girl sitting at a table in front of a cake.|positive
I81|a table topped with plates and bowls of food.|positive
I82|a close up of a pair of scissors on a table.|negative
I83|a person holding a pair of scissors in their hands.|negative
I84|a boat sitting on top of a body of water.|neutral
I85|a man in a suit and tie is smiling.|neutral
I86|a man standing in front of a bathroom mirror.|neutral
I87|a man in a suit and tie holding a cell phone to his ear.|neutral
I88|a woman sitting on a couch holding a cell phone.|neutral
