index|caption|label
723|two sea lions face open mouths.|0
751|empty lighted ski run twilight spectators watching.|0
309|pile dog feces lying grass.|-1
104|group young students classroom knees hands folded.|0
446|close-up computer keyboard. layout german.|0
335|colorful fireworks front highrise buildings waterside city.|1
136|black cat's face yellow eyes white whiskers.|0
752|man tattooed back sitting ground front two shirtless men talking another person right.|0
764|man sleeping table next mostly empty black plastic food container white styrofoam drink cup.|0
799|shipping containers next top one another.|0
791|woman holding white cup red liquid it. nails painted turquoise.|1
106|man boy playing board game camping site tabletop supported logs tied together.|1
679|stained brown semi-circular tiles roof.|0
4|three shelves full bottles whiskey.|0
447|grey laptop keyboard blue l-shaped enter key.|0
152|group male workers, mostly children factory.|0
877|black white photo man's hand underneath woman's hand. woman wearing silver bracelet, long white gloves, wedding dress. holding two wedding rings.|1
333|green, yellow, pink blue fireworks burst patterns sky.|1
437|back old person's hand scab bleeding around edges.|-1
479|white lightning purple sky, clouds silhouette bushes rocks it.|0
648|railroad tracks branching front train station.|0
30|man space suit shakes hands robot designed space.|1
388|woman sits back camera looking town. scene dark.|0
707|gray black striped cat stares much larger dog white muzzle brown black fur.|0
757|two skydivers strapped together. one front giving two thumbs-up signs. behind them, another two skydivers seen jumping plane.|1
582|woman showing breasts pierced nipples.|0
749|composite time-lapse image skier white pants red jacket jumping snowy ramp.|1
406|gravestones cemetery trees around cemetery.|0
461|dock still peacful alpine lake surrounded coniferous trees.|1
629|pigeon green throat feathers standing piece wood.|0
260|brown dog sitting garden path. mouth open mottled tongue hanging out. chain collar around neck.|1
433|two nuzzling horses, one white brown head brown mane, brown head blonde main, grassy field.|1
384|collection glass recycled bottles jars.|-1
252|black tan german shepherd sitting haunches.|1
124|group colorful race cars going around curve single line race track.|0
74|swan wings outstretched alighting pond.|1
97|large soap bubbles floating air.|1
271|brown dog lying eyes open resting head next front paw.|1
662|green car person's legs sticking window, sitting middle road trees sides.|1
885|two silver rings resting pink flower.|1
308|pile horse dung sandy soil.|-1
248|surgeon helper operating patient. surgeon wearing camera supported headband. men wear surgical masks white gloves. wall clock background two lights ceiling.|0
511|smiling woman baby girl, dressed pink. baby's dress pink wings attached it.|1
62|two hands clinking champagne glasses front beach sunset.|1
151|cheerleader pompoms head tilted one side.|1
368|shirtless man straining open bottle pickles.|0
292|young girl looking shoulder expression delight face.|1
552|three shirtless men, looking something left image. black woman videotaping background.|0
146|large, nearly full moon shines howling wolf graveyard. two crosses headstone visible. flock birds flies overhead.|0
821|happy child wide open mouth holding toy cell phone right ear. child black hair fringes big brown eyes, yellow white shirt.|1
401|field green tall grass.|1
359|football player carrying ball, player ground tries pull tugging sleeve jersey hands.|0
649|barbed wire top wooden picket fence.|-1
861|concrete gray wall white streaks, irregular smooth.|0
70|bee resting palm person's hand. bee purple brown wings yellow thorax, three legs one side two legs showing side.|0
207|row blood spattered bodies laid floor.|-1
338|red yellow starburst fireworks exploding night sky.|1
45|rows liquor bottles pouring spouts|0
557|muscular shirtless man running front body water. pair white goggles hand.|0
369|man walks amidst crosses marking graves cemetery.|-1
572|blond hair woman lying bed breasts focus. pink bra black tie pink underwear black garter.|1
295|dark-haired boy standing behind girl nose-ring.|1
158|squirrel feet rim container held somebody's hands. person's fingers seen container.|1
732|shark swimming body blue water, second shark behind it.|0
866|group soldiers running sandy terrain carrying rifles.|-1
294|chef whose mouth open, wearing white paper hat blue shirt embroidered star lapel|0
518|white-haired man white beard engaging someone.|0
