id,image_file,caption
I108|Camping 6|A man wearing a blue jacket and a headlamp lighting a fire on a pile of wood kindling in front of him.
I53|Bark 5|The trunk of an old tree with a rough bark covering.
I61|Beach 3|A person walking along a sandy seashore at dawn.
I400|Grass 2|A close look at a strand of healthy green grass.
I180|Cotton swabs 1|Blue and while cotton swabs sitting in a container.
I121|Car crash 2|Two cars involved in a head-on collision
I76|Bird 3|Gold and brown ducklings swimming with their mother on a pond.
I84|Boat 1|An empty row boat floating on a body of water with a rope over one edge.
I90|Bored pose 5|A girl with her elbows on the table and one hand on the side of her face with a bored expression.
I96|Bridge 1|An arched bridge in park  with tall trees in the background, and stones to the right of the bridge.
I140|Cat 11|A brown and white cat lying down with its head resting on one cheek on the floor and its front leg extended.
I95|Bricks 1|A square section of stones laid as a brick wall.
I113|Candle 1|An assembly of lit orange and cream candles of different sizes set on a table.
I97|Bubble 1|A glass ball with a reflection of a fence and a woman taking a picture.
I138|Cat 9|A brown and white cat looking up with its eyes wide open and ears pointing forward.
I111|Camping 9|A person wearing a hat and coat with a sunburned faced looking trough the opening of a tent, set in snow.
I156|Child labor 4|A young girl working in a textile mill.  She is facing a collection of yarn spinners.
I117|Car accident 2|A blue car with its front end severely damaged.
I160|Chipmunk 3|A brown squirrel resting on top of a cut-off branch.
I110|Camping 8|Three boys playing in refugee camp with tents behind them.
I141|Cat 12|A long-haired brown cat sitting on an icy ledge.
I149|Cemetery 4|A cemetery with neat rows of white gravestones
I128|Cardboard 2|Multitude of new large brown cardboard sheets stacked horizontally.
I98|Bubble 2|Large soap bubbles floating in the air.
I87|Bored pose 2|A man with his hand on his cheek and his brow furrowed, with his lips curved downwards.
I31|Astronaut 2|A man in a space suit shakes hands with a robot designed for space.
I24|Animal carcass 3|Two hyenas eating a four-legged animal in the grass, with two vultures watching behind them.
I60|Beach 2|A vivid and colorful sunset over a body of water.
I127|Cardboard 1|Stacked rows of brown corrugated cardboard.
I120|Car crash 1|A grey car on the side of a wet road, with its front portion completely smashed so that the engine is exposed.
I129|Cardboard 3|A top down view of an assembled cardboard box.
I54|Bark 6|A closeup image of greenish tree bark.
I41|Baby 10|A boy and a teddy bear sit together on a wooden bridge.
I131|Cat 2|A white and brown cat with green eyes standing on a rocky surface.
I22|Animal carcass 1|A bird stands on the bones of a recently killed animal.
I38|Baby 7|A crying baby with its eyes closed and its mouth open.
I27|Animal carcass 6|A pride of lionesses feeding on the carcass of a freshly killed zebra.
I59|Beach 1|A beach with several chairs on it.  The water is brilliant blue.  A breakwater is just off-shore.
I161|City 1|An overhead view of a city full of tall buildings.
I74|Bird 1|Two geese swimming on calm water at sunset.
I78|Bird 5|A man's hand, holding a black and white bird.
I37|Baby 6|A small baby asleep on its side.
I30|Astronaut 1|An astronaut on a space walk with the earth in the background.  The spacecraft is reflected in his face mask.
I67|Bear 1|Two black bears sleeping on some rocks.
I42|Band 1|A marching band stands in a field in front of a crowd.  They wear red and black pants, jackets, and shakos.  The shakos have long white plumes.
I50|Bark 2|Rough tree bark with moss growing on it.
I126|Car race 4|Five race cars going around a track in tight formation.
I26|Animal carcass 5|The headless carcass of a deer or antelope with some of its ribs exposed.
