imageId|caption|label
I1|Two acorns are lying on the ground next to some oak leaves.|neutral
I10|A bar with several bottles of wine and a partially-filled wine glass on it.  Three shelves full of bottles are in the background.|neutral
I100|Ruined walls of a church against the backdrop of white clouds a blue sky.|neutral
I101|A man in free fall attached to a blue bungee jumping apparatus.  A river and mountain are below him.  He is wearing a white shirt and blue pants.|neutral
I102|A falling man attached to a bungee jumping apparatus.  He is wearing a white shirt and black sunglasses.|neutral
I103|A smiling woman wearing an orange top and blue shorts, held by a bungee jumping apparatus, suspended over water and trees.|positive
I104|A man kneeling in front of a tent with two similar-looking girls at his sides.  Their hands rest on his shoulder, one on top of the other.|positive
I105|A group of young students in a classroom on their knees with their hands folded.|neutral
I106|Three men and two women dressed in medieval costumes sit on benches at a wooden table.  The table has a horn, a furred hat, and an apple on it.  A shield is nearby.|positive
I107|A man and a boy playing a board game at a camping site on a tabletop supported by logs tied together.|positive
I108|A man wearing a blue jacket and a headlamp lighting a fire on a pile of wood kindling in front of him.|neutral
I109|Three young boys and an older boy in a blue and white canoe.  The three young ones have orange lifevests on.|positive
I11|Two glasses of champagne and a bread and cheese plate, outdoors in front of a body of water and a pier.|positive
I110|Three boys playing in refugee camp with tents behind them.|neutral
I111|A person wearing a hat and coat with a sunburned faced looking trough the opening of a tent, set in snow.|neutral
I112|A tent glowing from a light inside, pitched in a snow field with snow covered mountains in the background.|neutral
I113|An assembly of lit orange and cream candles of different sizes set on a table.|positive
I114|A red and black supercar with its front wheels turned to the right.|positive
I115|Vintage Borgward car in blue and yellow color, rusty with a a Rio de Janeiro license plate.  The car has leaves on the hood and is parked in nature with trees in the background and leaves on the floor.|neutral
I116|A blue car with its hood smashed on the side of a road with people looking at it.|negative
I117|A blue car with its front end severely damaged.|negative
I118|Pieces of glass from the right front side of a car shattered and flying in the air.|negative
I119|A black car with its roof crushed in and extensive damage to the front and sides.|negative
I12|A man driving a motorcycle with a sidecar stretcher containing an injured man with a white bandage around his head. In the background, a row of men are standing next to horses.|negative
I120|A grey car on the side of a wet road, with its front portion completely smashed so that the engine is exposed.|negative
I121|Two cars involved in a head-on collision|negative
I122|Two cars that have collided at an intersection and have leaked oil all over the road.|negative
I123|A group of colorful race cars going around a curve on a race track|neutral
