109,Camping 6.jpg,A man wearing a blue jacket and a headlamp lighting a fire on a pile of wood kindling in front of him.
56,Bark 5.jpg,The trunk of an old tree with a rough bark covering.
61,Beach 3.jpg,A person walking along a sandy seashore at dawn.
400,Grass 2.jpg,A close look at a strand of healthy green grass.
180,Cotton swabs 1.jpg,Blue and while cotton swabs sitting in a container.
121,Car crash 2.jpg,Two cars involved in a head-on collision
76,Bird 3.jpg,Gold and brown ducklings swimming with their mother on a pond.
84,Boat 1.jpg,An empty row boat floating on a body of water with a rope over one edge.
90,Bored pose 5.jpg,A girl with her elbows on the table and one hand on the side of her face with a bored expression.
96,Bridge 1.jpg,"An arched bridge in park  with tall trees in the background, and stones to the right of the bridge."
159,Chipmunk 2.jpg,A squirrel with his feet at the rim of a container held by somebody's hands.  The persons' fingers can be seen through.
95,Bricks 1.jpg,A square section of stones laid as a brick wall.
113,Candle 1.jpg,An assembly of lit orange and cream candles of different sizes set on a table.
97,Bubble 1.jpg,A glass ball with a reflection of a fence and a woman taking a picture.
143,Cat 9.jpg,A brown and white cat looking up with its eyes wide open and ears pointing forward.
111,Camping 8.jpg,Three boys playing in refugee camp with tents behin them.
112,Camping 9.jpg,"A person wearing a hat and coat with a sun tanned faced looking trough the opening of a tent, set in snow."
116,Car accident 1.jpg,""
117,Car accident 2.jpg,""
122,Car crash 3.jpg,""
124,Car race 2.jpg,""
128,Cardboard 2.jpg,""
132,Cat 11.jpg,""
133,Cat 12.jpg,""
135,Cat 14.jpg,""
140,Cat 6.jpg,""
141,Cat 7.jpg,""
146,Cemetery 1.jpg,""
149,Cemetery 4.jpg,""
151,Cheerleader 1.jpg,""
152,Cheerleader 2.jpg,""
153,Child labor 1.jpg,""
156,Child labor 4.jpg,""
158,Chipmunk 1.jpg,""
160,Chipmunk 3.jpg,""
163,Cliff diver 1.jpg,""
98,Bubble 2.jpg,Large soap bubbles floating in the air.
87,Bored pose 2.jpg,"A man with his hand on his cheek and his brow furrowed, with his lips curved downwards."
31,Astronaut 2.jpg,A man in a space suit shakes hands with a robot designed for space.
24,Animal carcass 3.jpg,"Two hyenas eating a four-legged animal in the grass, with two vultures watching behind them."
60,Beach 2.jpg,A vivid and colorful sunset over a body of water.
127,Cardboard 1.jpg,Stacked rows of brown corrugated cardboard.
