id,image_title,caption,valence_mean
I109,Camping 6.jpg,A man wearing a blue jacket and a headlamp lighting a fire on a pile of wood kindling in front of him.,5.2156862745098005
I56,Bark 5.jpg,The trunk of an old tree with a rough bark covering.,4.33333333333333
I61,Beach 3.jpg,A person walking along a sandy seashore at dawn.,5.51485148514851
I400,Grass 2.jpg,A close look at a strand of healthy green grass.,4.94117647058824
I180,Cotton swabs 1.jpg,Blue and while cotton swabs sitting in a container.,4.09803921568627
I121,Car crash 2.jpg,Two cars involved in a head-on collision,1.99009900990099
I76,Bird 3.jpg,Gold and brown ducklings swimming with their mother on a pond.,6.03703703703704
I84,Boat 1.jpg,An empty row boat floating on a body of water with a rope over one edge.,4.574074074074071
I90,Bored pose 5.jpg,A girl with her elbows on the table and one hand on the side of her face with a bored expression.,3.8019801980197996
I96,Bridge 1.jpg,"An arched bridge in park  with tall trees in the background, and stones to the right of the bridge.",5.891089108910889
I132,Cat 11.jpg,A brown and white cat lying down with its head resting on one cheek on the floor and its front leg extended.,6.0
I95,Bricks 1.jpg,A square section of stones laid as a brick wall.,4.15686274509804
I113,Candle 1.jpg,An assembly of lit orange and cream candles of different sizes set on a table.,5.04901960784314
I97,Bubble 1.jpg,A glass ball with a reflection of a fence and a woman taking a picture.,4.79207920792079
I143,Cat 9.jpg,A brown and white cat looking up with its eyes wide open and ears pointing forward.,5.705882352941179
I112,Camping 9.jpg,"A person wearing a hat and coat with a sunburned faced looking trough the opening of a tent, set in snow.",4.94117647058824
I156,Child labor 4.jpg,A young girl working in a textile mill.  She is facing a collection of yarn spinners.,4.01851851851852
I117,Car accident 2.jpg,A blue car with its front end severely damaged.,1.97222222222222
I160,Chipmunk 3.jpg,A brown squirrel resting on top of a cut-off branch.,5.52941176470588
I111,Camping 8.jpg,Three boys playing in refugee camp with tents behind them.,3.9901960784313704
I133,Cat 12.jpg,A long-haired brown cat sitting on an icy ledge.,5.84313725490196
I149,Cemetery 4.jpg,A cemetery with neat rows of white gravestones,2.7941176470588194
I128,Cardboard 2.jpg,Multitude of new large brown cardboard sheets stacked horizontally.,4.0092592592592595
I98,Bubble 2.jpg,Large soap bubbles floating in the air.,5.0
