index|caption|label
716|two sewer grates middle paved brick road.|0
752|mound white snow crystals focus ones background.|0
244|chair branches sitting front large fire.|-1
128|black white photo man hands head pressed glass wall. man wearing wristwatch necklace.|0
466|white-haired man white beard engaging someone.|0
308|horsehead nebula pink light hydrogen protostars illuminating background.|1
165|surgeon operates draped patient, assisted nurse. various instruments around lower part patient's body imaging device exposed skin.|0
753|yellow green soccer ball lying field near chalk lines.|0
761|large crowd young soldiers saluting.|0
806|dark clouds rainstorm threatening town.|0
788|field sunflowers closeup five flowers. background trees mountains.|1
99|young man woman embracing entrance wooden building. woman barefoot, shoes visible left. wears blue dress headband. man blue shirt dark pants.|1
677|man peering shelf grasping hands.|0
4|falling man attached bungee jumping apparatus. wearing white shirt black sunglasses.|0
467|wood bark shades brown grey color.|0
177|medium sized black brown dog stubby ears greying muzzle standing gravel mulch bed.|0
868|miniature bride groom figurines wedding cake|1
306|planet space stars visible around it.|1
379|man wounded bleeding operating room. tube going left leg straps around legs blood black material coming legs.|-1
494|four shirtless men black pants smiling. one men phone waistband. two men tattooed.|0
643|copper covered tiles roof sloped plane.|0
9|man boy playing board game camping site tabletop supported logs tied together.|1
419|two streaks lightning reaching dark clouds ground.|0
703|white blue shark surface blue water pilot fish it.|0
777|two glasses sparkling wine gold rims floral engraving. outdoors, resting stump flowers nearby background.|1
564|man wearing helmet, goggles, camouflage jumpsuit, jumping airplane.|0
766|six birthday candles lit set cupcakes. cupcakes chocolate colored blue frosting white imitation pearls them.|1
432|empty bench facing row us flags park.|0
459|smiling woman baby girl, dressed pink. baby's dress pink wings attached it.|1
632|different sizes shades grey rocks smooth edges.|0
268|many red fireworks going night sky, leaving white trails behind them.|1
451|silhouette woman holding child head, yellow sky water behind her.|1
347|handgun lying surface muzzle pointing towards viewer.|-1
261|green, yellow, pink blue fireworks burst patterns sky.|1
157|parched earth cracks running every direction.|0
72|man leaps diving platform begin dive ocean below.|1
88|six hands resting other. one wrists purple band around it. another one white watch.|1
281|two wedding rings sitting bunch pink roses.|1
689|bicyclist wearing pointed bike racing helmet blue yellow biking one-piece spandex jumpsuit.|1
885|woman standing one leg beach, two boats front water smoke rising distance.|1
242|brown weasel baring fearsome teeth snarl.|-1
332|close rough green grass.|0
524|nude woman asleep side head resting hand.|1
50|five hockey players embrace tight circle. arms other's backs hold sticks pointing upwards.|1
139|pumpkin pie one slice cut sits basket table. missing slice nearby plate. canned pumpkin whole pumpkins behind it.|1
416|yellow lightning hitting water two large dark rock formations. lightning rocks reflected water.|0
300|small baby asleep side.|1
540|tangled pile rubber bands.|0
168|doctors nurses wearing surgical masks, caps, gowns gloves operating patient.|0
818|boy wearing blue shirt, laughing another person tickles him.|1
410|mirror-like lake reflects sky, clouds, trees above. patch bright green grass shore.|1
401|picnic basket paper cups set tree trunk edge lake.|0
661|little girl smudges face looking sad.|-1
880|wooden spool brown thread, lying side wood surface.|0
81|old-fashioned sled curved wooden runners red striped fabric top, sitting snow.|0
143|dirty american flag white shoe, lying broken wood plants growing it.|-1
323|man gazing standing rock seashore twilight shallow water around.|1
41|brown white cat standing outside front grass. cat back arched mouth open aggressive stance.|0
546|possum showing teeth wide open mouth frightening posture.|0
312|many bottles litter lying sand beach, water visible behind them.|-1
